uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,like_rate,comment_rate,save_rate,performance_label
media/posts/202405/18297281560083718.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/17899463993989850.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/18017594804245013.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/18016811183198240.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/18044031694692474.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/18227107891276711.jpg,2024-05-09 20:00:59+07:00,,2024-05-09 20:00:59+07:00,Myrah,,,,False,FB,2024-05-09,2024-05,2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Thursday,,,,Quantile 0.25
media/posts/202405/18013299512516786.jpg,2024-05-08 20:01:13+07:00,,2024-05-08 20:01:13+07:00,Eva,,,,False,FB,2024-05-08,2024-05,2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Wednesday,,,,Quantile 0.25
media/posts/202405/18019450100186895.jpg,2024-05-08 20:01:13+07:00,,2024-05-08 20:01:13+07:00,Eva,,,,False,FB,2024-05-08,2024-05,2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Wednesday,,,,Quantile 0.25
media/posts/202405/18018626624209003.jpg,2024-05-08 20:01:13+07:00,,2024-05-08 20:01:13+07:00,Eva,,,,False,FB,2024-05-08,2024-05,2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Wednesday,,,,Quantile 0.25
media/posts/202405/17993618159463580.jpg,2024-05-08 20:01:13+07:00,,2024-05-08 20:01:13+07:00,Eva,,,,False,FB,2024-05-08,2024-05,2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Wednesday,,,,Quantile 0.25
media/posts/202405/17862165660119533.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
media/posts/202405/18430632445062362.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
media/posts/202405/18266698258235470.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
media/posts/202405/18048087592663271.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
media/posts/202405/18067718677519530.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
media/posts/202405/17870742444048906.jpg,2024-05-07 20:01:06+07:00,,2024-05-07 20:01:06+07:00,Lynn mama,,,,False,FB,2024-05-07,2024-05,2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Tuesday,,,,Quantile 0.25
