dominant_hex_1,dominant_hex_2,dominant_hex_3,dominant_pct_1,dominant_pct_2,dominant_pct_3,avg_hue01,avg_saturation,avg_value,std_value,colorfulness,warm_ratio,uri,engagement,engagement_rate,log_engagement_rate,performance_label_log
#051217,#08363C,#423937,0.3032,0.282,0.1688,0.3792440617463647,0.56009043335075,0.280478431372549,0.18922190443912512,48.72248298139442,0.3468,media/other/17936217308853227.jpg,468.0,0.468,0.27544753478343825,High
#718D93,#302D2C,#914434,0.3634,0.2012,0.186,0.36064073796008833,0.3690605982105786,0.5011435294117647,0.17721831001099358,46.789471372528375,0.3382,media/other/18450965923058024.jpg,323.0,0.323,0.27544753478343825,High
#7B7C79,#40444A,#252528,0.3016,0.2184,0.2116,0.34218175065142903,0.19689603403704986,0.3456,0.18544976618628214,49.00074110746838,0.3556,media/other/18040563178900075.jpg,281.0,0.281,0.24764102291459722,High
#33484A,#192C2E,#526768,0.3122,0.2884,0.22,0.5001162181447546,0.36163773293849294,0.3455827450980392,0.1472302646703783,37.01171532201417,0.0458,media/other/17884489788065286.jpg,79.0,0.079,0.07603468627599762,High
#715F39,#4A3B1F,#9A885C,0.2564,0.24,0.1952,0.14647646954352075,0.5140686031792879,0.4311490196078432,0.2186818907337121,50.69641947667938,0.6528,media/other/17877997695097484.jpg,68.0,0.068,0.0657877405380031,Medium
#090D0C,#8A523D,#AB7457,0.3092,0.2914,0.2292,0.17537280709196398,0.5367398323411852,0.40173019607843136,0.2517106454255174,47.47638063825374,0.7164,media/other/17999583992423326.jpg,53.0,0.053,0.05164323315183845,Medium
#141909,#936B47,#584224,0.2892,0.2324,0.2146,0.15027085722204853,0.5287603353107952,0.44991372549019615,0.2710578594754098,62.15474686011291,0.6996,media/other/18404637241078566.jpg,61.0,0.061,0.05921185963184609,Medium
#5D4125,#88663C,#9CA96F,0.2204,0.211,0.2084,0.1707337975310882,0.46282388021813375,0.5220423529411764,0.2404309666193112,61.02615284631427,0.4734,media/other/18105765676403756.jpg,85.0,0.085,0.08157998699242289,High
#0D160B,#393F35,#989BA2,0.3408,0.2262,0.1498,0.44859481661229655,0.3203620538872718,0.3748666666666667,0.2764896369185239,70.18733687932773,0.0556,media/other/18091839637452286.jpg,80.0,0.08,0.07696104113612832,High
#0F2F20,#87502E,#4A2610,0.5962,0.1414,0.1388,0.2746995753267882,0.6555724162543547,0.32300549019607844,0.21735186308876767,51.6788113507726,0.4174,media/other/17953128281687608.jpg,67.0,0.067,0.06485097231961633,Medium
#434343,#2C2C2C,#0F0F0F,0.4386,0.2472,0.1836,0.0,0.0,0.23664392156862746,0.1398537670049774,35.662710586269256,1.0,media/other/18025525922324723.jpg,89.0,0.089,0.08525984395082342,High
#BCC3CA,#ADB0B7,#918B8B,0.4544,0.3566,0.0712,0.5272474025199436,0.14174825626245216,0.7022941176470587,0.1448364666654243,45.28540813859414,0.1748,media/other/17849817147232991.jpg,246.0,0.246,0.2199384203652614,High
#222222,#6D6D6D,#929292,0.2598,0.2132,0.212,0.0,0.0,0.30559686274509806,0.19142432199711953,48.81320210926547,1.0,media/other/17916896996941414.jpg,52.0,0.052,0.050693114315518116,Medium
#09090C,#17181D,#2D2E32,0.473,0.3858,0.1034,0.5121902723525318,0.21905113718906077,0.11612156862745096,0.13491986195637318,32.15100492890707,0.2068,media/other/18034025366003425.jpg,31.0,0.031,0.03052920503482287,Low
